	Problem	Searcher	Actions	Expansions	GoalTests	NewNodes	PlanLength	ElapsedSeconds
0	Air Cargo Problem 4	breadth_first_search	104.0	99736.0	114953.0	944130.0	14.0	53.4933
1	Air Cargo Problem 4	depth_first_graph_search	104.0	25174.0	25175.0	228849.0	24132.0	2130.186
2	Air Cargo Problem 4	uniform_cost_search	104.0	113339.0	113341.0	1066413.0	14.0	65.3252
3	Air Cargo Problem 4	greedy_best_first_graph_search h_unmet_goals	104.0	29.0	31.0	280.0	18.0	0.0322
4	Air Cargo Problem 4	greedy_best_first_graph_search h_pg_levelsum	104.0	17.0	19.0	165.0	17.0	20.6578
5	Air Cargo Problem 4	greedy_best_first_graph_search h_pg_maxlevel	104.0	56.0	58.0	580.0	17.0	14.2395
6	Air Cargo Problem 4	greedy_best_first_graph_search h_pg_setlevel	104.0	107.0	109.0	1164.0	23.0	204.3951
